text;label;my_label
общение с гостями;0;1
сварка сборных металлических конструкций спецтехника навесное оборудование сборные строения детали элементов лэп;0;0
прием регистрация и обработка всех поступающих телефонных звонков на номер вызова экстренных оперативных служб ;1;1
передача зарегистрированных карточек в соответствии с регламентами и инструкциями в дежурнодиспетчерские службы экстренных оперативных служб для организации экстренного реагирования;0;1
оказание справочноконсультативной помощи абонентам;0;1
осуществление исходящих звонков абоненту в случае внезапного прерывания связи;0;1
помощь воспитателю в учебно воспитательной работе;0;0
поддержание чистоты и порядка в группе;0;0
сварочные работы методом ручной дуговой сварки;0;0
сварка металлоконструкций;0;0
первичный контроль за качеством сварки;0;0
расчет зп и налогов;0;1
подготовка платежных поручений на налоги и зп;0;0
кадровый учет;0;1
подготовка и сдача отчетности рсв ефс ндфл отправка персонифицированных сведений;1;1
работа с требованиями;0;0
добросовестно исполнять свои трудовые обязанности возложенные на него трудовым договором настоящей должностной инструкцией выполнять установленные нормы труда;0;0
проводить учебные занятия опираясь на достижения в области методической педагогической и психологической наук возрастной психологии и гигиены а также современных информационных технологий;0;0
осуществлять свою деятельность на высоком профессиональном уровне обеспечивать в полном объеме реализацию образовательной программы;0;0
 работа на входящем потоке клиентов прием и обработка заказов клиентов оформление необходимых документов выявлять и формировать потребность сопровождать клиента на всех этапах выстраивание взаимовыгодных и долгосрочных отношений с корпоративными клиентами компании подготовка коммерческих предложений ведение клиентской базы;0;1
осуществление видеоконтроля за территорией исправительного учреждения;0;0
осуществлять первичную проверку и анализ документов свидетельствующих о проблемах граждан обратившихся за получением социальных услуг;1;0
выявление недостающей информации или информации требующей дополнительной проверки;0;0
консультация граждан;0;1
формирование и ведение личных дел;0;0
работа в офисе с входящими заказчиками;0;0
расчет стоимости заказа и передача его в работу;0;1
выдача готовой продукции заказчикам;0;0
полный цикл подбора персонала для укомплектованности центров формирования заказов от получения заявки от заказчика до выхода кандидата на работу;0;0
поиск кандидатов с использованием различных источников;0;0
проведение первичного телефонного интервью видеоинтервью;0;0
оценка кандидатов по компетенциям;0;1
закрытие вакансий в установленные сроки;0;0
выполнение монтажных работ по прокладке кабельных трасс монтаж кабельных лотков и кабельканалов монтаж защитных полиэтиленовых труб монтаж шкафов укладка кабеля и расключение патчпанелей в шкафах связи;0;0
работа в руки ассистирование врачу генуборки заполнение журналов учета встреча пациента подготовка кабинета к приему;1;0
 формирование защита и выполнение плана электромонтажных работ на участке и комплектации рабочим персоналом техникой и материалами под план обеспечение выполнения плана электромонтажных работ на участке в соответствии с рабочими чертежами проектом производства работ производственным планом и нормативными документами обеспечение сдачи работ представителям технического надзора и строительного контроля заказчика устранение замечаний работа с представителями авторского надзора в части получения согласования технических решений производства работ и согласование выполнения работ с заказчиком организация приемки материалов конструкций изделий их складирование учет и отчетность обеспечение рационального использование на участке строительных машин механизмов транспортных средств экономное расходование материалов обеспечивает условия для освоения и выполнения работниками установленных норм выработки и контроль фот ;0;0
планирование организация и контроль работ выполнения работ;0;0
участие в составлении графиков производства работ;0;0
обоснование объемов дополнительных работ перед заказчиком;0;0
своевременное выявление в потребностях ресурсов на участке;0;0
контрольизменение объемов работ;0;0
контроль исполнения правил от и тб;0;0
утверждение объемов работ у заказчика;0;0
заказ материалов и контроль их использования;0;0
сбор исполнительной документации и передача в пто проекта;0;0
оперативный выезд и консультирование клиентов по организации похорон заключение договоров сопровождение клиентов до окончания похоронной церемонии подготовка документов для похорон;1;0
организация и оформление похорон;0;0
организация контроль ведение бухгалтерского и налогового учта;0;0
ведение платежного календаря;0;0
проверка и утверждение заявок на оплату формирование реестров платежей;1;0
формирование реестров платежей в рамках проектного финансирования;0;0
осуществление безналичных расчетов по системе банкклиент выгрузка платежных поручений;0;0
ежемесячная отчетность формирование платежного календаря и анализ исполнения бддс;1;1
прием заказов в на доставку и самовывоз поступающих по телефону через сайт соцсети;1;1
регистрация заказов;0;0
отправка заказов в работу на кухню сборка и упаковка готовых заказов;0;0
отправка заказов клиентам;0;0
помощь логисту;0;0
работа с заявками;0;0
общение с заказчиками и логистами касательно транспортировки грузов пункта назначения;0;0
организация процесса по транспортировке груза;0;0
контроль за навигацией и работой водителя;0;0
контроль погрузкиразгрузки машин;0;0
контроль ведения ттн и путевой документации;0;0
выполнение коммерческих показателей;0;0
активные продажи фитнесуслуг и дополнительных сервисов;0;0
работа с исходящими звонками;0;0
ответы на входящие звонки;0;0
презентация фитнесцентра гостям;0;0
ведение текущих клиентов в базе;0;0
заполнение форм отчетности;0;1
участие в клубных мероприятиях;0;0
продажа услуг гланас тахографов и доп оборудования;0;0
продажа услуг ит аутсофсинга;0;0
поиск и привлечение новых клиентов;0;0
ведение действующей клиентской базы;0;0
полное документальное сопровождение сделки;0;1
техническая поддержка и консультирование пользователей пк;0;1
установка и настройка системного и прикладного по на рабочих местах пользователей;0;0
ремонт и то итоборудования ;0;0
монтаж компьютерных сетей систем видеонаблюдения;0;0
участие в проектах внедрения новых информационных систем;0;0
активные продажи;0;0
постоянная демонстрация уникальных защитных качеств продукции ;0;0
установка защитных бронепленок и противоударных стекол клиентам на смартфоны;0;0
обучение повышение квалификации;0;0
консультирование клиентов;1;1
поддержание порядка в магазине и соблюдение стандартов выкладки продукции;0;0
приемка товара;0;0
контроль наличия продукции в магазине обеспечение своевременного заказа продукции;0;0
работа с кассой;0;0
осуществление руководства производственнохозяйственной деятельностью цеха;0;0
обеспечение ежедневного учета хода производства выполнения сменносуточных заданий бригад;0;0
подготовка заказов к запуску в производство курирование графиков готовности технической и конструкторской документации графиков обеспечения заказов отделом омтс;0;0
контроль технологического процесса и качества выпускаемой продукции;0;0
производственное планирование учет составление и своевременное представление отчетности о производственной деятельности цеха;1;1
оперативное решение вопросов выявленных в ходе производства со всеми отделами и службами;0;0
мониторинг изменений в составах заказов и доведение всех изменений до производственных участков исполнителей;0;0
выявление и анализ причин отклонения от выполнения производственной программы;0;0
обеспечение экономии всех видов ресурсов повышение производительности труда и снижение издержек производства;0;0
обеспечение технически правильной эксплуатации оборудования и других основных средств выполнения графиков их ремонта;0;0
контроль соблюдения работниками правил и норм охраны труда и техники безопасности производственной и трудовой дисциплины правил внутреннего трудового распорядка;0;0
проведение инструктажей подчиненным работникам;0;0
контроль выполнения работ подрядными организациями на строительных площадках;0;0
информирование непосредственного руководителя обо всех рисках проблемах и нарушениях возникающих в процессе производства и представляющих риск срыва сроков сдачи заказов;0;0
трудоустройство согласно тк рф;0;0
корпоративная сотовая связь;0;0
работа в географическом центре города;0;0
работа в команде профессионалов;0;0
зплата оклад премии обсуждается с кандидатами успешно прошедшими собеседование;0;0
для иногородних кандидатов предоставляется служебное жилье помощь при переезде и адаптации;0;0
мелкий ремонт вагонгородка;0;0
плотницкие работы уборка прилегающей территории;0;0
уборка банно прачечных комплексов и санузлов;0;0
контроль за налогами составление и сдача налоговых деклараций статистической отчетности;1;1
запрос справок актов сверок из ифнс контроль сверки;1;1
ответы пояснения на требования письма запросы из ифнс;0;0
взаимодействие с ифнс сфр и иными контролирующими органами;0;0
работа по формированию и ведения книги покупоккниги продаж;0;0
подготовка данных для аудиторских и налоговых проверок;1;1
ведение складского учета;0;0
комплектация и подготовка оборудования к отгрузке;0;0
приемка выявление дефектного оборудования;0;0
составления актов;0;1
проведение инвентаризации;0;0
консультация и встреча клиентов;0;1
заключение договоров прием оплат продажи;1;0
работа с документами;0;1
ведение курсантов автошколы по всем этапам обучения;0;0
общение по телефону;0;1
контроль дебиторской задолженности;0;0
ведение социальных сетей;0;1
отчетность руководству;1;1
создание благоприятной комфортной позитивной обстановки в классе;0;0
поддержание чистоты;0;0
официальное трудоустройство белая заработная плата выплата своевременная раза в месяц полный социальный пакет проживание питание за счет организации проживание в благоустроенном городке вахтовый метод работы пункт сбора г новый уренгой полная занятость вахтовый метод;0;0
работы проводятся на производственных участках в км от нового уренгоя доставка от пункта сбора до объекта осуществляется автотранспортом;0;0
разработка ярких дизайнов для сайтов и сервисов компании;0;0
улучшение визуала и ux цифровых продуктов;0;0
создание дизайнов для социальных сетей и рассылок;0;0
участие в прототипировании;0;0
разработка адаптивных макетов в figma;0;0
ретушь и цветокоррекция изображений;0;0
создание инфографики;0;1
обязательно знание тис и пк на уровне опытного пользователя;0;0
знание офисного пакета программ ;0;0
умение пользоваться почтовыми программами;0;0
внимательность ответственность;0;0
загрузка товара на складе и доставка клиентам;0;0
работа на автомобиле предприятия можно приходить на собеседование с пн по пт с до монтажников стр кондитерская quotсладушкаquot;0;0
складской документооборот;0;0
прием выдача хранение тмц;0;0
контроль сроков годности тмц;0;0
инвентаризация тмц;0;0
обработка возвратов ;0;0
проведение операций вс ;0;0
приемка товара с честным знаком приемка документов в эдо;0;0
управление автомобильным краном с грузоподъемностью тонн;0;0
работа на крановых установках quotгаличанинquot стрела м quotклинцыquot метр;0;0
высшее профессиональное образование;0;0
опыт работы строительных компаниях;0;0
уверенный пользователь с предприятие версия ;0;0
перевозить груз по маршруту тюменьекатеринбург тюмень тюмень тобольск;0;0
самостоятельно грузить свою машину и выгружать;0;0
работа на межгород;0;0
возить запчасти или посылки озон по пунктам выдачи;0;0
перевозим почти все;0;0
расчет заработной платы в полном объеме по компании с учетом обособленных подразделений;0;0
формирование ведомостей на выплату заработной платы;0;1
проверка и формирование заявок на уплату ндфл по цо и обособленным подразделениям компании;0;1
работа по оформлению заказов и заявок в программу;0;0
выдача заказов клиентам;0;0
работа со складом;0;0
консультирование клиентов в офисе;1;1
отслеживание местонахождения отправлений;0;1
работа с накладными до выяснения;0;1
отслеживание правильности и актуальности статусов по заказам в программе;0;1
ответы на запросы по накладным ;0;0
работа с кассой;0;0
мы сработаемся если ты;0;0
работа в вечернее время и выходные дни;0;0
стабильная зп;0;0
возраст не важен;0;0
образование предпочтительно высшее;0;0
в каких должностях предпочтителен опыт работы строительство;0;0
специальные навыки и знания автокад майкрософт офис исполнительная документация;0;0
карьерный рост и обучение перспективы карьерного роста и его возможные сроки начальник пто возможность повышения квалификацииобучения есть;0;0
приготовление напитков;0;0
приготовление заготовок;0;0
обслуживание столов;0;0
поддержание чистоты в зале;0;0
реализация молодежных проектов разработка концепций и технических заданий работа с;0;0
подрядчиками и экспертами общее администрирование;0;0
коммуникация с участниками координация в проекте работа с обратной связью;0;0
проведение генераций;0;0
ведение смет и отчетной документации по проектам;0;1
проектирование и анализ разработки месторождений бухгалтерский финансовый лицензионный учт и аудит а также ряд функций обеспечивающих производственные процессы;0;0
комплектация по тсд ;0;0
погрузочноразгрузочные работы на складе молочной продукции;0;0
отслеживание сроков годности продукции;0;0
изучение ведение обобщение систематизирование анализ первичной геологической документации;1;1
составление графических материалов характеризующих геологическое строение изучаемого района работ ;0;0
составление и оформление отчетов по инженерногеологическим изысканиям;1;1
отработка замечаний заказчика органов ведомственной и государственной экспертиз внесение изменений;0;0
комплектация заявок;0;0
фасовка льда ;0;0
фасовка чая;0;0
салон красоты в центре города;0;0
сотрудничество с брендами премиум класса;0;0
наработанная база клиентов;0;0
оборудованное рабочее место и комфортная комната отдыха для персонала;0;0
возможность развития и повышения квалификации;0;0
своевременная оплата труда;0;0
официальное трудоустройство;0;0
дружная команда профессионалов;0;0
у вас есть высшее образование опыт в военных или силовых структурах;0;0
у вас есть знания и понимания сетевых технологий;0;0
у вас есть высокие достижения и цели и желание стать одной из причин безопасности нашей компании;0;0
разработка новых проектов и улучшение интерфейса существующих;0;0
проектирование и отрисовка дизайнмакетов для сайтов сервисов;0;0
подготовка макетов к адаптивной верстке;0;0
разработка и подготовка рекламных материалов;0;0
выполнять работы по разборке ремонту сборке и испытанию узлов и механизмов дробильносортировочного оборудования на производстве;0;0
изготовлять приспособления для ремонта и монтажа;0;0
осуществлять промывку чистку смазку деталей;0;0
выполнять работы с применением пневматических электрических инструментов;0;0
выполнять такелажные работы по перемещению грузов с применением подъемно транспортных механизмов и специальных приспособлений управляемых с пола;0;0
выполнять слесарную обработку деталей и узлов;0;0
официальное трудоустройство;0;0
контроль за соблюдением потребителями режима потребления тепловой энергии и теплоносителя надлежащего технического состояния теплопотребляющих установок;0;0
выявление бездоговорного потребления;0;0
проведение преддоговорного обследования для заключения договоров на теплоснабжение;0;0
осуществление приемки и проведение обследования тепловых узлов вновь вводимых объектов строительства;0;0
включениеотключение потребителей согласно заявок;1;0
выявление нарушения работы тепловой сети потребителей на участке;0;0
проверка готовности систем теплопотребления потребителей к озп;0;0
ограничениеотключение потребителей в связи с нарушением сроков оплаты за потребленную тепловую энергию теплоноситель;0;0
контроль работоспособности узлов учета тепловой энергии снятие контрольных показаний;0;0
проверка технического состояния оборудования на узлах учета;0;0
приемка узлов учета потребителей на участке района;0;0
обработка отчетов о потребленной тепловой энергии с внесением обработанных данных в блок по приборам учета программы;0;1
осуществление подготовки ответов на письма обращения и жалобы потребителей запросы правоохранительных и контролирующих органов организация доставки письменных ответов;0;0
опыт работы не менее года чистовая и черновая отделка фасадные и кровельные работы кладка монолит;0;0
строительное образование ;0;0
ответственность исполнительность заинтересованность в результате;0;0
желание учиться и расти по карьерной лестнице;0;0
контроль соответствия продукции нормативнотехнической документации;0;0
контроль технологических процессов на всех стадиях производства;0;0
оформление документации на продукцию;0;1
соблюдение лимита кассы;0;0
проверка кассовых книг;0;0
учет расчетов с подотчетными лицами;0;1
ведение кассовой дисциплины;0;0
выполнение поручений начальника отдела проектной документации;0;0
организовывать и самостоятельно проводить все закупки в рамках федерального закона от лг фз quot о закупках товаров работ услуг отдельными юридическими лицамиquot ;0;0
составлять отчетность о закупочной деятельности;1;1
обеспечивать участие авиакомпании в закупках проводимых другими организациями ;0;0
осуществлять работу с заказчикамиконтрагентами ;0;0
составление оформлениеведение исполнительной документации;1;1
ведение общих и специальных журналов работ;0;1
формирование разрешительной документации на объектах нефтегазовой отрасли;0;1
взаимодействие с заказчиком и проектным институтом ведение деловой переписки;0;1
составление и защита актов на дополнительные работы устранение предписанийвыданных инженером технического надзораподготовка отчета о закрытии актапредписания;1;1
сбор паспортов и проведение входного контроля материаловпоступающих на участок;0;0
составление технических карт и прочих графических материалов;0;0
выполнение служебных поручений начальника участка и начальника пто;0;0
предоставление интересов работодателя при взаимодействии с представителями контролирующих организаций и подрядчиков;0;0
распределение участков уборки и заданий между уборщиками выдача специальных инструкций для особых видов работ;0;0
проведение ежедневных инспекций всех участков объекта обслуживания;0;0
регулярная оценка работы уборщиков анализ отношения работников к клиентам и посетителям наблюдение за профессиональным поведением внешним видом ведение соответствующих записей об этом в журнале состояния условий труда;0;0
контроль соблюдения плана обслуживания графика выполнения работ утвержденных стандартов правил техники безопасности;0;0
выявление удовлетворенности заказчика обслуживанием оперативное устранение причин вызывающих снижение качества;0;0
своевременное материальнотехническое обеспечение персонала объекта;0;0
а контроль рабочего состояния всего оборудования на объекте оперативное обращение о необходимости ремонтных и профилактических работ б контроль потребления материалов и химических средств на объекте ведение соответствующих отчетных записей в контроль состояния униформы ведение накладных выдачи спецодежды и заявок на получение новой;0;0
координация работы службы уборки с различными подразделениями заказчика;0;0
координация работы услуг на объекте обслуживания ;0;0
отчетность перед руководством ;1;1
ведение переговоров с клиентами в мессенджерах и по телефону;0;1
поиск и структурирование новой информации в том числе о работе ии;0;0
отправка счетов и контроль их оплаты;0;0
формирование отчетов по задачам ведение ддс;0;1
ежедневная проверка работы систем;0;0
постоянное улучшение процессов;0;0
найм технических специалистов по необходимости;0;0
разработка и актуализация инструкций;0;0
работа с нейросетями;0;0
личные поручения;0;0
звонить юридическим лицам с предложением о сотрудничестве отправка коммерческих предложений прием входящих звонков обработка заявок заполнение ведомости на текущий ремонт;1;0
проверка комплектности деталей заготовки изделия;0;0
подготовка и осмотр деталей на предмет сколов и дефектов;0;0
проверка соответствия размеров заготовки изделия заложенным в спецификации;0;0
монтаж комплекта мебели на дому у клиента;0;0
содержание в надлежащем состоянии инструментов станков и иного оборудования оборудования;0;0
подготовка распорядительных актов управления земельным фондом;0;0
постановка на кадастровый учт;0;0
утверждение схем;0;0
подготовка проектов договоров земельных участков;0;0
внесение начислений арендной платы в с;0;0
постоянные командировки по территории рф ;0;0
обучение работе и стандартам компании новых сотрудников;0;0
выкладка товара на места продаж в соответствии со стандартами;0;0
контроль сроков годности и качества продукции;0;0
актуализация ценников;0;0
консультирование покупателей по вопросам касающимся свойств цены качества и других параметров товара;0;1
обслуживание покупателя на кассе;0;0
разноска информационных листовок клиентам;0;0
совершение ряда мероприятий направленных на предотвращение потерь в магазине;0;0
формирование комплекта исполнительнотехнической документации;0;0
исправление замечаний после проверки;0;0
исполнительные схемы акты освидетельствования скрытых работ общий и специальные журналы работ;0;0
входной контроль;0;0
защита и сдача выполнения заказчику;0;0
встреча гостей;0;0
управление персоналом;0;0
прием заказов обслуживание расчет;1;1
прием и выдача готовой продукции;0;0
работа с готовыми кондитерскими изделиями;0;0
знание с;0;0
встреча клиентов и ориентация по бутику;0;0
соблюдение стандартов работы с клиентами;0;0
сбор данных клиента и пополнение базы клиентов;0;1
работа с кассовым оборудованием;0;0
обработка внешнего трафика клиентов;0;1
поддержание чистоты в бутике;0;0
оформление заказов через сервис доставки;0;0
обеспечение бесперебойной работы оборудования установки подготовки попутного нефтяного газа уппг мониторинг и контроль параметров технологического процесса;0;0
обеспечение бесперебойной работы холодильного оборудования на базе четырех компрессоров bitzer мониторинг параметров работы холодильной установки;0;0
контроль сбора нефтепродукта и его перекачивание на пункт налива ;0;0
предупреждение выявление и устранение неисправностей возникающих в процессе работы на вышеуказанном оборудовании;0;0
определение сбоя в работе и определение причин неисправности оборудования;0;0
проведение диагностики технического обслуживания и ремонта оборудования;0;0
ведение оперативной документации подача оперативной сводки по работе оборудования;0;1
ведение оперативных переговоров с начальником установки и начальником участка инженером по наладке и испытаниям и их заместителями в соответствии с регламентами и нормативными документами;0;0
соблюдение требований в области от и пб пожарной безопасности экологического контроля на объекте;0;0
сменный график чч;0;0
наличик водительского удостоверения катв;0;0
наличие образования по специальности quotтехникquot обязательно;0;0
вести раздельный учет по ндс ;1;1
готовить и сдавать декларацию по ндс расшифровки дебиторской и кредиторской задолженности для финансовой и управленческой отчетности;0;0
выписывать упд контрагентам на основании первичных документовсверка по дебиторской задолженности;0;0
вести учет задолженности валютной выручки отражать банковскую выписку;1;1
вести учета финансовых вложений контролировать отражений выручки по номенклатурным группам статьям доходов отражать кассовые операции учет резервов по сомнительным долгам;0;1
обеспечение своевременного выполнения плана по обследованию сетей водоснабжения и водоотведения;0;0
организация и выполнение работы по контролю правильности предоставления абонентами и потребителями сведений об объемах водопотребления и водоотведения по показаниям приборов учета расхода воды и сточных вод;0;0
оказание помощи клиентам с выбором лекарственных препаратов и товаров аптечного ассортимента;0;1
осуществление кассового обслуживания;0;0
участие в разборе и расстановке товара;0;0
осуществление приема и контроля первичной документации связанной с движением основных средств товарноматериальных ценностей подготовка их к счетной обработке отражение на счетах бюджетного учета в программе с;0;0
осуществление приема и контроля первичной документации по исполнительным листам;0;0
участие в инвентаризации формировании и обработке в бюджетном учете инвентаризационных описей по основным средствам товарноматериальным ценностям и денежным средствам;0;0
активная работа с покупателямипродажи;0;0
поддержание порядка в торговом залекассепримерочной;0;0
подготовка отчетных документов;1;1
предпродажная подготовка товара;0;0
